LON,LAT,Zona Sismica
11.6319,46.6829,0
11.661,46.6834,0
11.6903,46.6838,0
11.7194,46.6842,0
11.7487,46.6847,0
11.7778,46.6851,0
11.8071,46.6855,0
11.8363,46.6859,0
11.8655,46.6863,1
11.8947,46.6866,1
11.9239,46.687,1
11.9531,46.6874,1
11.9823,46.6878,1
12.0116,46.6881,1
12.0408,46.6884,1
12.07,46.6888,1
12.0992,46.6891,1
12.1284,46.6894,1
12.1576,46.6898,1
12.1868,46.6901,1
12.216,46.6904,1
12.2453,46.6907,1
12.2745,46.691,1
12.3037,46.6913,1
12.3329,46.6915,1
12.3621,46.6918,1
12.3913,46.6921,1
12.4205,46.6923,1
10.4067,46.6383,2
10.465,46.6397,2
10.4942,46.6404,2
10.5235,46.6411,2
10.5526,46.6418,1
10.5818,46.6425,1
10.6109,46.6432,1
10.6401,46.6439,1
10.6693,46.6446,1
10.6984,46.6452,1
10.7276,46.6459,1
10.7569,46.6465,1
10.786,46.6472,1
10.8152,46.6478,0
10.8444,46.6484,0
10.8735,46.6491,0
10.9027,46.6497,0
10.9319,46.6503,0
10.9611,46.6509,0
10.9903,46.6515,0
11.0195,46.6521,0
11.0486,46.6527,0
11.0779,46.6532,0
11.107,46.6538,0
11.1362,46.6544,0
11.1654,46.6549,0
11.1945,46.6555,0
11.2238,46.656,0
11.253,46.6565,0
11.2822,46.6571,0
11.3114,46.6576,0
11.3405,46.6581,0
11.3697,46.6586,0
11.3989,46.6591,0
11.4281,46.6596,0
11.4573,46.6601,0
11.4865,46.6606,0
11.5157,46.661,0
11.5448,46.6615,0
11.574,46.662,0
11.6033,46.6624,0
11.6325,46.6629,0
11.6617,46.6633,0
11.6909,46.6637,0
11.72,46.6642,0
11.7492,46.6646,0
11.7784,46.665,0
11.8076,46.6654,1
11.8368,46.6658,1
11.866,46.6662,1
11.8952,46.6665,1
11.9245,46.6669,1
11.9536,46.6673,1
11.9828,46.6676,1
12.0121,46.668,1
12.0412,46.6684,1
12.0704,46.6687,1
12.0997,46.669,1
12.1288,46.6694,1
12.1581,46.6697,1
12.1873,46.67,1
12.2164,46.6703,1
12.2457,46.6706,1
12.2749,46.6709,1
12.3041,46.6712,1
12.3333,46.6715,1
12.3625,46.6717,1
12.3917,46.672,1
12.4209,46.6722,1
12.4501,46.6725,1
12.4793,46.6727,1
12.5085,46.673,1
10.1454,46.6113,2
10.1746,46.6121,2
10.2037,46.6129,2
10.2328,46.6137,2
10.4953,46.6203,2
10.5245,46.621,1
10.5537,46.6217,1
10.5828,46.6224,1
10.6119,46.6231,1
10.6411,46.6238,1
10.6703,46.6245,1
10.6994,46.6251,1
10.7286,46.6258,1
10.7578,46.6264,1
10.787,46.6271,1
10.8161,46.6277,0
10.8453,46.6283,0
10.8745,46.629,0
10.9037,46.6296,0
10.9328,46.6302,0
10.962,46.6308,0
10.9912,46.6314,0
11.0204,46.632,0
11.0495,46.6326,0
11.0787,46.6331,0
11.1079,46.6337,0
11.137,46.6343,0
11.1662,46.6348,0
11.1954,46.6354,0
11.2246,46.6359,0
11.2538,46.6364,0
11.2829,46.637,0
11.3121,46.6375,0
11.3413,46.638,0
11.3705,46.6385,0
11.3996,46.639,0
11.4288,46.6395,0
11.458,46.64,0
11.4872,46.6405,0
11.5164,46.6409,0
11.5456,46.6414,0
11.5747,46.6419,0
11.6039,46.6423,0
11.6331,46.6428,0
11.6623,46.6432,0
11.6915,46.6436,0
11.7207,46.6441,0
11.7499,46.6445,0
11.779,46.6449,1
11.8083,46.6453,1
11.8375,46.6457,1
11.8666,46.6461,1
11.8958,46.6464,1
11.925,46.6468,1
11.9542,46.6472,1
11.9834,46.6476,1
12.0126,46.6479,1
12.0418,46.6483,1
12.071,46.6486,1
12.1002,46.6489,1
12.1293,46.6493,1
12.1586,46.6496,1
12.1877,46.6499,1
12.2169,46.6502,1
12.2461,46.6505,1
12.2753,46.6508,1
12.3045,46.6511,1
12.3337,46.6514,1
12.3629,46.6516,1
12.3921,46.6519,1
12.4213,46.6522,1
12.4505,46.6524,1
12.4797,46.6526,1
12.5089,46.6529,1
12.5381,46.6531,1
12.5965,46.6536,1
12.6256,46.6538,1
12.6548,46.654,1
12.684,46.6542,1
10.1174,46.5904,2
10.1465,46.5912,2
10.1757,46.592,2
10.2048,46.5928,2
10.2339,46.5936,2
10.4963,46.6002,2
10.5255,46.6009,1
10.5547,46.6016,1
10.5838,46.6023,1
10.613,46.603,1
10.6421,46.6037,1
10.6712,46.6044,1
10.7004,46.605,1
10.7296,46.6057,1
10.7587,46.6064,1
10.7879,46.607,1
10.817,46.6076,0
10.8462,46.6083,0
10.8754,46.6089,0
10.9046,46.6095,0
10.9337,46.6101,0
10.9628,46.6107,0
10.992,46.6113,0
11.0212,46.6119,0
11.0504,46.6125,0
11.0795,46.613,0
11.1087,46.6136,0
11.1379,46.6142,0
11.167,46.6147,0
11.1962,46.6153,0
11.2254,46.6158,0
11.2545,46.6164,0
11.2837,46.6169,0
11.3129,46.6174,0
11.342,46.6179,0
11.3712,46.6184,0
11.4003,46.6189,0
11.4295,46.6194,0
11.4587,46.6199,0
11.4879,46.6204,0
11.5171,46.6208,0
11.5462,46.6213,0
11.5754,46.6218,0
11.6045,46.6222,0
11.6338,46.6227,0
11.6629,46.6231,0
11.6921,46.6235,0
